Rotor_Speed_RPM,Wind_Speed_mps,Power_Output_kW,Gearbox_Oil_Temp_C,Generator_Bearing_Temp_C,Vibration_Level_mmps,Maintenance_Label
15.496714153011231,7.861735698828816,1564.7688538100692,72.61514928204012,73.82923312638331,1.953172608610164,0
15.079831812215703,7.840483498342925,1502.2221826611983,62.861035431983275,72.34091294890887,1.97650489964573,0
17.559488031037795,8.3942330218796,1512.221916522268,62.422821689537734,71.99873074947044,2.1894879642093277,0
15.822544912103188,6.779156350028978,1520.8863595004757,55.201649380601125,68.35906975550785,2.0393722471738247,0
15.564464238555136,8.025500668081348,1547.3193249460023,68.29595299214492,86.70373167051523,2.2141970374034736,1
14.156580076640717,7.4866745946028335,1495.6463197526502,63.62349544876803,67.18466602706744,1.8408738015725976,0
15.211587012326016,8.597044646179075,1410.3664816870698,64.44006089746529,82.34470642716197,1.775220333091993,0
14.927989878419666,9.003532897892024,1536.1636025047635,61.774401226974376,76.80697802754207,2.307607313293194,0
14.6013616099848,7.939135912525254,1358.1249541408597,70.2124580866971,79.51766245312922,2.00380006621243,0
16.622920499341372,8.823733076975142,1529.3059245645572,69.48315191855473,71.94838991326333,1.9367668206380455,0
15.09707754934804,8.968644990532889,1429.7946906122647,63.36168926701116,73.0394592343392,1.7072970103735765,0
15.127012239371798,6.750556277200073,1694.5115614486783,64.23331771241929,70.4650638729756,1.8365291689754344,0
14.337261686621789,7.853527193258384,1415.3982983544297,60.887553156099685,80.43363511519637,2.2009973761405264,0
14.807639035218877,8.301547342333613,1496.5288230294757,59.15660981190234,80.7141140725751,2.1503866065373547,0
15.35615983038938,7.978119125661235,1621.805043775651,63.05270987848259,72.7859882754718,2.0756453229481706,0
16.70660495367846,8.87358941563538,1500.9144345740135,63.172303515837285,78.24543366314553,1.7554252926649387,0
16.24894069913991,8.065649158111224,1616.9207646952625,69.36658484544714,76.02825067003336,1.7113033296607525,0
15.227459934604129,9.307142754282427,1339.2516765438772,65.92316929266153,76.29941397124212,2.1563645743554622,0
